Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,0,1,0,1,0,0,0,0,19,1,0,Matty Farner,0,0,Wisconsin Lutheran Warriors,1,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,19,1,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,1,2,1,0,1
0,0,0,1,1,0,0,0,0,0,19,1,0,Colin Biesterfeld,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,1,0,1,4,4,0,0,19,1,0,Caleb Goldstein,4,2,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,1,1,0,2,1,1,0,19,1,0,Bruggink Andrew,3,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,19,2,0,Colin Biesterfeld,3,0,Wisconsin Lutheran Warriors,1,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,19,2,0,Bruggink Andrew,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,19,2,0,Sam Kaufman,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,2,0,Paul Koier,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,2,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,3,0,Bruggink Andrew,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,3,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,19,3,0,Randy Johnson,0,0,Wisconsin Lutheran Warriors,1,0,1,0,0,0,0,0
0,0,0,2,1,1,0,0,0,3,19,3,1,Matty Farner,2,0,Wisconsin Lutheran Warriors,0,0,0,1,0,2,1,1
0,0,0,1,0,1,0,0,0,0,19,3,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,1,0,1,0,1,0,0,0
0,0,0,0,0,0,2,2,0,0,19,4,0,Bruggink Andrew,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,19,4,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,19,4,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,19,4,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,19,4,0,Paul Koier,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,19,5,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,0,0,0
0,0,0,2,2,0,0,0,0,0,19,5,1,Paul Koier,4,0,Wisconsin Lutheran Warriors,0,0,0,1,0,2,2,0
0,0,0,1,0,1,2,2,0,1,19,5,0,Sam Kaufman,2,1,Wisconsin Lutheran Warriors,1,0,1,0,1,0,0,0
0,0,0,3,0,3,0,0,0,0,19,5,1,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,3,0,3
0,0,0,0,0,0,0,0,0,0,19,5,0,Anthony Mendoza,0,1,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,19,6,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,6,0,Paul Koier,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,6,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,19,6,0,Bruggink Andrew,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,0,0,0
0,0,0,3,0,3,0,0,0,0,19,6,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,3,0,3
0,0,0,1,0,1,0,0,0,0,19,7,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,19,7,0,Bruggink Andrew,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,19,7,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,19,7,0,Caleb Goldstein,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,19,7,0,Sam Kaufman,2,0,Wisconsin Lutheran Warriors,0,0,0,1,0,1,1,0
0,0,0,1,1,0,0,0,0,0,19,8,0,Collin Kennedy,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,19,8,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,19,8,0,Sam Kaufman,0,0,Wisconsin Lutheran Warriors,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,8,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,19,8,0,Randy Johnson,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,9,0,Matty Farner,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,19,9,0,Collin Kennedy,2,0,Wisconsin Lutheran Warriors,0,0,0,0,0,2,1,1
1,0,0,0,0,0,0,0,0,0,19,9,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,19,9,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,1,0,1
0,0,1,3,1,2,0,0,0,0,19,9,0,Bruggink Andrew,3,0,Wisconsin Lutheran Warriors,1,1,0,1,0,2,0,2
0,0,1,1,0,1,0,0,0,1,19,10,0,Collin Kennedy,0,0,Wisconsin Lutheran Warriors,0,0,0,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,19,10,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,10,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,10,0,Bruggink Andrew,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,19,10,0,Paul Koier,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,11,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,11,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,19,11,0,Paul Koier,0,0,Wisconsin Lutheran Warriors,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,19,11,0,Sam Kaufman,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,11,0,Vancrete Alex,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,12,0,Colin Biesterfeld,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,12,0,Caleb Goldstein,0,0,Wisconsin Lutheran Warriors,0,0,0,0,0,0,0,0
