Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Overall,0.05,3.9,3.2,0.8,0.65,Very Good,2,1.1,3.1,0.36,0.41,0.13,0.12,0.09,0.37
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Spot Up,0.07,1.1,0.9,0.86,0.61,Good,0.5,0.4,0.9,0.42,0.5,0.14,0,0,0.36
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,P&R Ball Handler,0.15,1.3,0.7,0.52,0.85,Excellent,0.7,0.2,0.9,0.17,0.17,0.12,0.21,0.15,0.3
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Post-Up,0.07,0.5,0.2,0.5,0.94,Excellent,0.2,0.1,0.3,0.25,0.25,0.25,0.08,0.08,0.25
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Off Screen,0.06,0.3,0.3,0.78,-,-,0.2,0.1,0.3,0.33,0.39,0,0,0,0.33
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Isolation,0.08,0.3,0.5,1.33,-,-,0.1,0.2,0.3,0.57,0.57,0,0.33,0.22,0.67
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,Hand Off,0.11,0.3,0.5,1.44,-,-,0.1,0.2,0.3,0.71,0.86,0.22,0.11,0.11,0.56
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Defensive,P&R Roll Man,0.03,0.1,0.1,1.5,-,-,0,0,0.1,0.5,0.75,0,0,0,0.5
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Overall,0.12,9.6,7.1,0.74,0.31,Average,5.1,2.7,7.8,0.34,0.41,0.13,0.07,0.04,0.32
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Spot Up,0.19,3.3,2.8,0.85,0.46,Average,2,1.1,3.1,0.35,0.46,0.06,0.02,0.01,0.32
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,P&R Ball Handler,0.17,1.9,1.1,0.58,0.24,Below Average,0.9,0.4,1.3,0.31,0.31,0.22,0.08,0.08,0.3
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Transition,0.17,1.7,1.3,0.76,0.2,Below Average,1,0.5,1.5,0.34,0.4,0.07,0.11,0.07,0.33
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Offensive Rebounds (put backs),0.02,0.1,0.2,1.33,-,-,0,0.1,0.1,0.67,0.67,0,0,0,0.67
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Cut,0.08,0.4,0.2,0.6,0.04,Poor,0.2,0.1,0.3,0.33,0.33,0.1,0,0,0.3
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Isolation,0.14,0.5,0.2,0.43,0.08,Poor,0.2,0.1,0.3,0.25,0.25,0.29,0.14,0.14,0.29
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Off Screen,0.18,0.6,0.4,0.69,0.24,Below Average,0.5,0.2,0.6,0.25,0.34,0,0,0,0.25
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Hand Off,0.26,0.4,0.5,1.09,0.78,Very Good,0.2,0.2,0.4,0.5,0.6,0.09,0,0,0.46
Illinois Tech Scarlet Hawks,Ahmad Muhammad,2019-02-12,Play Types,Offensive,Miscellaneous,0.07,0.5,0.3,0.57,0.65,Very Good,0.1,0,0.1,0.33,0.33,0.5,0.29,0,0.36
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Offensive,Overall,0,0.5,0.5,1,-,-,0.3,0.3,0.5,0.5,0.5,0,0,0,0.5
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Offensive,Post-Up,0,0.3,0.5,2,-,-,0,0.3,0.3,1,1,0,0,0,1
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Offensive,Hand Off,0.02,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Defensive,Overall,0,0.4,0.4,1,-,-,0.2,0.2,0.4,0.5,0.5,0,0,0,0.5
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Defensive,Isolation,0.01,0.2,0.4,2,-,-,0,0.2,0.2,1,1,0,0,0,1
Marian University (WI) Sabres,Aidan Kirchner,2019-02-12,Play Types,Defensive,Off Screen,0.01,0.2,0,0,-,-,0.2,0,0.2,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Defensive,Overall,0,0.9,0.9,1,-,-,0.4,0.4,0.8,0.5,0.5,0,0.14,0,0.57
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Defensive,Spot Up,0.01,0.4,0.4,1,-,-,0.1,0.1,0.3,0.5,0.5,0,0.33,0,0.67
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Defensive,P&R Ball Handler,0.01,0.4,0.5,1.33,-,-,0.1,0.3,0.4,0.67,0.67,0,0,0,0.67
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Defensive,Isolation,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Offensive,Overall,0,1.1,0,0,-,-,1.1,0,1.1,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Offensive,Spot Up,0.01,0.4,0,0,-,-,0.4,0,0.4,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Offensive,Transition,0.01,0.4,0,0,-,-,0.4,0,0.4,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Offensive,Off Screen,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Lakeland (WI) Muskies,Alec Vandecastle,2019-02-12,Play Types,Offensive,Offensive Rebounds (put backs),0.02,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,Overall,0.01,4.7,3,0.64,0.19,Below Average,2.7,0.7,3.3,0.2,0.2,0.07,0.21,0.07,0.36
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,Spot Up,0.01,0.7,0,0,-,-,0.7,0,0.7,0,0,0,0,0,0
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,P&R Ball Handler,0.01,1,0.7,0.67,-,-,0.3,0.3,0.7,0.5,0.5,0.33,0,0,0.33
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,Offensive Rebounds (put backs),0.01,0.3,0.7,2,-,-,0,0.3,0.3,1,1,0,0,0,1
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,Isolation,0.05,2.3,1.7,0.71,-,-,1.3,0,1.3,0,0,0,0.43,0.14,0.43
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Offensive,Hand Off,0.02,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Defensive,Overall,0,1,0.7,0.67,-,-,0.7,0.3,1,0.33,0.33,0,0,0,0.33
Rockford Regents,Alonzo Mitchell,2019-02-12,Play Types,Defensive,Spot Up,0.01,1,0.7,0.67,-,-,0.7,0.3,1,0.33,0.33,0,0,0,0.33
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Overall,0.14,11.5,13,1.13,0.96,Excellent,2.7,5.4,8.1,0.66,0.67,0.17,0.16,0.14,0.58
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Spot Up,0.02,0.2,0.2,0.83,-,-,0,0.1,0.1,0.67,0.83,0.5,0,0,0.33
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Transition,0.08,1,1.3,1.38,0.95,Excellent,0.2,0.4,0.6,0.73,0.73,0.08,0.33,0.33,0.75
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Cut,0.25,2.7,3.9,1.45,0.92,Excellent,0.3,1.6,2,0.84,0.84,0.12,0.21,0.19,0.76
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Post-Up,0.67,4.3,4,0.92,0.67,Very Good,1.5,1.6,3.2,0.52,0.52,0.19,0.09,0.08,0.46
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Offensive Rebounds (put backs),0.27,1,1.2,1.15,0.6,Good,0.3,0.6,0.9,0.65,0.65,0.12,0,0,0.58
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Isolation,0.02,0.1,0.1,1,-,-,0,0,0,1,1,0.5,0,0,0.5
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,P&R Roll Man,0.6,1.8,2.3,1.3,0.85,Excellent,0.4,0.9,1.3,0.72,0.72,0.11,0.25,0.21,0.66
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Offensive,Miscellaneous,0.08,0.4,0.1,0.18,0.13,Poor,0,0,0,-,-,0.64,0.36,0,0.09
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Overall,0.08,6.3,5,0.79,0.69,Very Good,3.5,1.8,5.4,0.34,0.41,0.11,0.05,0.04,0.34
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Spot Up,0.12,3,3,1.01,0.32,Average,1.6,1,2.7,0.39,0.51,0.05,0.05,0.05,0.4
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,P&R Ball Handler,0.03,0.2,0,0,-,-,0.1,0,0.1,0,0,0.4,0,0,0
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Isolation,0.11,0.7,0.3,0.44,0.87,Excellent,0.4,0.2,0.6,0.27,0.27,0.17,0,0,0.22
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Post-Up,0.44,1.8,1.2,0.65,0.81,Very Good,1,0.5,1.4,0.33,0.33,0.15,0.09,0.07,0.33
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Off Screen,0.03,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Concordia (WI) Falcons,Andrew Fratzke,2019-02-12,Play Types,Defensive,Hand Off,0.07,0.2,0.1,0.75,-,-,0.1,0,0.1,0.33,0.5,0.25,0,0,0.25
