Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Overall,100%,80.6,71.3,0.885,49%,Average,32.4,25.5,57.9,44.1%,50.3%,17%,12.8%,8.5%,"40.8%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Transition,15.8%,12.7,11.9,0.936,71%,Very Good,4.7,4.3,9,48.1%,53.5%,17.2%,15.1%,11.9%,"43.6%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Overall Half Court,84.2%,67.9,59.4,0.876,40%,Average,27.7,21.2,48.9,43.3%,49.7%,17%,12.4%,7.9%,"40.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Short Shot Clock <4 Seconds,4.9%,3.9,4.1,1.047,2%,Poor,1.8,1.5,3.3,45.5%,54.5%,8.5%,8.5%,5.7%,"45.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Out of Bounds (End),8.3%,5.6,5.1,0.901,28%,Below Average,2.6,1.9,4.6,42.3%,49.2%,13.2%,7.2%,6.6%,"40.1%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Out of Bounds (Side),4.9%,3.3,3.3,1,7%,Poor,1.4,1.2,2.6,45.1%,51.4%,10.1%,13.5%,10.1%,"44.9%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,After Time Outs,12.9%,8.7,6.7,0.767,82%,Very Good,3.9,2.6,6.5,39.8%,44.3%,18.2%,7.6%,3.8%,"36%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Man Defense,99.5%,67.5,59.1,0.875,38%,Average,27.6,21.1,48.7,43.3%,49.7%,17%,12.3%,7.9%,"40.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Zone Defense,0.5%,0.3,0.3,0.889,-,-,0.1,0.1,0.2,40%,60%,22.2%,22.2%,0%,"44.4%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Overall Defense,Press Defense,10.3%,7,5.6,0.798,63%,Good,2.6,1.8,4.3,41%,48.7%,23.4%,14.9%,5.3%,"37.8%
"
