Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Player_ID
2019-02-12,0.02,8.2,7.6,0.93,0.7,Very Good,2.4,2.8,5.2,0.54,0.58,0.22,0.15,0.07,0.44,1,2,1,228
2019-02-12,0.02,9.6,7.4,0.77,0.73,Very Good,5.0,2.6,7.6,0.34,0.41,0.15,0.08,0.06,0.33,2,2,1,228
2019-02-12,0.01,1.2,1.0,0.83,-,-,0.4,0.4,0.8,0.5,0.63,0.17,0.17,0.17,0.33,1,2,2,228
2019-02-12,0.02,2.0,2.2,1.1,0.19,Below Average,0.8,0.8,1.6,0.5,0.69,0.2,0.0,0.0,0.4,2,2,2,228
2019-02-12,0.04,3.2,2.0,0.63,0.1,Poor,1.2,0.8,2.0,0.4,0.4,0.31,0.06,0.06,0.31,1,2,9,228
2019-02-12,0.06,2.2,2.6,1.18,0.97,Excellent,0.6,1.0,1.6,0.63,0.69,0.18,0.09,0.09,0.55,1,2,3,228
2019-02-12,0.1,4.0,2.2,0.55,0.81,Very Good,2.6,0.8,3.4,0.24,0.27,0.1,0.05,0.0,0.25,2,2,3,228
2019-02-12,0.01,0.4,0.4,1.0,-,-,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.0,0.5,1,2,5,228
2019-02-12,0.09,2.0,1.6,0.8,0.45,Average,0.8,0.6,1.4,0.43,0.43,0.2,0.2,0.2,0.4,2,2,5,228
2019-02-12,0.01,0.4,0.4,1.0,-,-,0.0,0.2,0.2,1,1,0.5,0.0,0.0,0.5,1,2,18,228
2019-02-12,0.01,0.2,0.4,2.0,-,-,0.0,0.2,0.2,1,1,0.0,0.0,0.0,1.0,1,2,19,228
2019-02-12,0.02,0.6,0.8,1.33,-,-,0.0,0.0,0.0,-,-,0.0,1.0,0.0,0.67,1,2,20,228
2019-02-12,0.01,0.2,0.4,2.0,-,-,0.0,0.0,0.0,-,-,0.0,1.0,1.0,1.0,2,2,4,228
2019-02-12,0.06,0.8,0.6,0.75,-,-,0.6,0.2,0.8,0.25,0.38,0.0,0.0,0.0,0.25,2,2,8,228
2019-02-12,0.05,0.6,0.4,0.67,-,-,0.2,0.2,0.4,0.5,0.5,0.33,0.0,0.0,0.33,2,2,7,228
