Team_Name,Player_Name,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date
Concordia (WI) Falcons,Noah Gosse,23,13.2,0.79,0.4,3.4,0.4,0.6,0.77,1,0.3,0.1,2.7,0.6,2.1,3.1,1.3,1.9,0.4,0.47,1.6,0.8,0.7,0.53,1.6,0.4,1.1,0.28,0.6,0.5,0.1,0.79,0,0.4,1.9,2019-02-21
Concordia (WI) Falcons,Isaiah Tenette,23,13.2,0.52,0.3,1.4,1.2,0.7,1.69,0.7,0.3,0,1.4,0.1,1.3,1.5,0.3,1.1,0.24,0.24,1.3,0.3,0.9,0.28,0.2,0,0.2,0,1.3,0.7,0.6,0.55,0.1,0.8,0.8,2019-02-21
Concordia (WI) Falcons,Jared Jurss,25,20.9,0.73,0.4,4.8,4.6,2.5,1.83,0.8,1.4,0,2,0.6,1.4,4.4,1.8,2.6,0.41,0.46,3.2,1.5,1.7,0.47,1.3,0.4,0.9,0.28,1.2,0.7,0.4,0.62,0.1,1,0.7,2019-02-21
Concordia (WI) Falcons,Jake Jurss,25,26.8,1.12,0.39,12.1,2.6,1.2,2.13,1.3,1,0.2,4.3,0.6,3.7,8.2,4.1,4.1,0.5,0.65,2.6,1.7,0.9,0.66,5.6,2.4,3.2,0.43,1.9,1.4,0.4,0.77,0.2,1.6,1.8,2019-02-21
Concordia (WI) Falcons,George Olalekan,25,13.9,0.94,0.19,6.6,0.3,1.7,0.19,0.6,0.8,0.2,2.8,0.9,1.9,5.8,2.7,3.1,0.46,0.48,5,2.5,2.5,0.5,0.8,0.2,0.6,0.25,1.8,1.1,0.7,0.61,0.3,1.8,2.4,2019-02-21
Concordia (WI) Falcons,Nolan Rhey,11,1.8,0.24,0.3,0.2,0.3,0.1,3,0.1,0,0,0,0,0,0.5,0.1,0.5,0.17,0.17,0.4,0.1,0.3,0.25,0.2,0,0.2,0,0,0,0,-,0,0,0.1,2019-02-21
Concordia (WI) Falcons,Michael Campbell,8,1.4,0.66,0.27,0.6,0,0,-,0,0,0,0.4,0,0.4,0.8,0.2,0.5,0.33,0.42,0.5,0.1,0.4,0.25,0.2,0.1,0.1,0.5,0,0,0,-,0,0,0.1,2019-02-21
Concordia (WI) Falcons,Joey Zietlow,24,14.2,0.98,0.43,4.7,0.8,0.6,1.36,1,0.3,0.3,2.4,0.6,1.8,3.7,1.8,1.9,0.48,0.53,2.5,1.4,1.1,0.56,1.2,0.4,0.8,0.32,1,0.8,0.3,0.72,0.1,1,1.7,2019-02-21
Concordia (WI) Falcons,Braden Persinger,13,4.3,0.46,0.21,0.8,0.1,0.5,0.17,0.3,0.2,0,0.8,0.3,0.5,0.5,0.3,0.2,0.67,0.83,0.2,0.2,0.1,0.67,0.2,0.2,0.1,0.67,0,0,0,-,0,0,0.2,2019-02-21
Concordia (WI) Falcons,Brandon Keller,9,9.4,0.85,0.42,3.7,0.2,0.3,0.67,0.9,0,0,1.8,0.7,1.1,3.6,1.8,1.8,0.5,0.5,3.6,1.8,1.8,0.5,0,0,0,-,0.6,0.1,0.4,0.2,0,0.3,1.8,2019-02-21
Concordia (WI) Falcons,Keller Brandon,19,7.7,1.08,0.38,3.2,0.3,0.4,0.71,0.1,0.2,0.1,1.8,0.8,1,2.5,1.3,1.2,0.51,0.51,2.5,1.3,1.2,0.51,0,0,0,-,1.4,0.7,0.7,0.48,0.2,1.2,0.9,2019-02-21
Concordia (WI) Falcons,Camden Flowers,9,1.8,0.94,0.56,0.7,0.1,0,-,0.1,0,0.1,0.2,0.1,0.1,0.8,0.3,0.4,0.43,0.43,0.4,0.3,0.1,0.75,0.3,0,0.3,0,0,0,0,-,0,0,0.3,2019-02-21
Concordia (WI) Falcons,Andrew Fratzke,25,29.1,1.31,0.48,13.1,2.4,2,1.18,1,1.1,1.8,5.9,1.8,4.1,8.2,5.4,2.8,0.66,0.66,8.1,5.4,2.7,0.66,0.1,0,0,0.5,3.3,2.3,1,0.7,0.4,2.7,2,2019-02-21
Concordia (WI) Falcons,Rico Griffin,1,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,2019-02-21
Concordia (WI) Falcons,Jordan Johnson,25,31,1.23,0.32,14.8,2.2,2.4,0.92,0.9,1.2,0.3,7,0.8,6.2,11.5,5.1,6.4,0.44,0.49,7.5,4,3.5,0.53,4,1.1,2.9,0.28,4.1,3.6,0.5,0.87,0.3,3,1.7,2019-02-21
Concordia (WI) Falcons,Ben Armstrong,1,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-02-21
Concordia (WI) Falcons,Jacob Lord,20,4,0.64,0.44,0.6,0.2,0.1,1.5,0.4,0,0,0.8,0.2,0.6,0.5,0.2,0.3,0.4,0.55,0.2,0,0.1,0.33,0.4,0.2,0.2,0.43,0.1,0,0,0.5,0,0,0.4,2019-02-21
