Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,1,3,12,6,6,2,2,0,1,20.0,15,1,"Connor Dartt,Dennis Handy,Isaac Moore,Jackson Smith,Sean Ek",16,7.783333333333333,2,3,1,3,13,7,6,2,2,0,2,3,17,1,4,1,3,6,3,9,6,3,-1,1,Dominican (IL) Stars,3,2,1,12.216666666666667,5,3,9,4,5,1
0,1,2,3,1,2,2,1,1,1,12.216666666666667,15,2,"Dennis Handy,Isaac Moore,Jackson Smith,Marcus Watson,Sean Ek",3,2.0166666666666675,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,2,3,0,Dominican (IL) Stars,2,0,2,10.2,3,1,1,1,0,1
1,0,1,1,1,0,0,0,0,0,10.2,15,3,"Arrin Westbrook,Christopher Burel,Dennis Handy,Isaac Moore,Marcus Watson",3,0.8833333333333329,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,Dominican (IL) Stars,1,1,0,9.316666666666666,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,9.316666666666666,15,4,"Arrin Westbrook,Christopher Burel,Isaac Moore,Jackson Smith,Marcus Watson",0,0.01666666666666572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominican (IL) Stars,0,0,0,9.3,0,0,0,0,0,1
0,0,1,3,2,1,0,0,0,0,9.3,15,5,"Arrin Westbrook,Christopher Burel,Connor Dartt,Jackson Smith,Marcus Watson",4,1.4000000000000004,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,4,0,Dominican (IL) Stars,0,0,0,7.9,1,0,3,2,1,1
1,1,4,9,2,7,0,0,0,3,7.9,15,6,"Arrin Westbrook,Christopher Burel,Derek Steck,Jackson Smith,Marcus Watson",4,7.9,2,1,0,7,13,4,9,4,3,1,0,4,11,3,1,0,1,11,4,12,4,8,0,3,Dominican (IL) Stars,4,0,4,0.0,6,4,5,2,3,1
1,1,3,11,4,7,0,0,0,1,20.0,15,7,"Connor Dartt,Dennis Handy,Isaac Moore,Jackson Smith,Sean Ek",9,6.416666666666666,2,4,0,5,8,4,4,2,2,0,1,1,13,0,4,3,1,6,2,4,1,3,-4,1,Dominican (IL) Stars,4,1,3,13.583333333333334,5,1,7,3,4,2
0,0,1,2,0,2,0,0,0,0,13.583333333333334,15,8,"Arrin Westbrook,Connor Dartt,Dennis Handy,Marcus Watson,Sean Ek",0,1.1666666666666679,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,Dominican (IL) Stars,0,0,0,12.416666666666666,1,0,2,0,2,2
0,0,1,3,0,3,0,0,0,1,12.416666666666666,15,9,"Arrin Westbrook,Christopher Burel,Dennis Handy,Isaac Moore,Marcus Watson",0,1.6999999999999993,1,0,1,2,2,0,2,2,2,0,3,1,2,0,0,0,0,3,1,2,0,2,-2,1,Dominican (IL) Stars,2,0,2,10.716666666666667,2,0,1,0,1,2
0,0,0,1,0,1,0,0,0,1,10.716666666666667,15,10,"Christopher Burel,Dennis Handy,Isaac Moore,Jackson Smith,Marcus Watson",0,0.9000000000000004,0,0,0,2,1,0,1,2,1,1,0,2,1,0,0,0,0,4,0,1,0,1,-1,0,Dominican (IL) Stars,0,0,0,9.816666666666666,0,0,1,0,1,2
0,0,1,4,1,3,0,0,0,0,9.816666666666666,15,11,"Christopher Burel,Connor Dartt,Dennis Handy,Isaac Moore,Jackson Smith",2,2.583333333333333,0,2,0,3,4,3,1,0,0,0,0,0,7,0,1,1,0,3,0,3,2,1,-5,0,Dominican (IL) Stars,2,0,2,7.233333333333333,1,0,2,1,1,2
3,0,4,9,6,3,5,4,1,0,7.233333333333333,15,12,"Connor Dartt,Dennis Handy,Isaac Moore,Jackson Smith,Sean Ek",20,7.233333333333333,1,1,0,3,12,4,8,0,0,0,4,5,8,0,4,0,4,8,0,8,4,4,0,0,Dominican (IL) Stars,6,4,2,0.0,5,0,3,2,1,2
