Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
2,0,2,9,5,4,2,2,0,0,20.0,15,1,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",13,4.716666666666667,3,1,0,1,6,4,2,0,0,0,1,0,9,0,1,1,0,1,1,5,3,2,4,0,Illinois Tech Scarlet Hawks,3,1,2,15.283333333333333,5,1,6,4,2,1
1,0,0,2,1,1,0,0,0,1,15.283333333333333,15,2,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",2,1.5333333333333332,0,0,0,1,1,1,0,2,2,0,0,0,4,0,0,0,0,1,2,1,1,0,-2,1,Illinois Tech Scarlet Hawks,1,0,1,13.75,0,1,1,1,0,1
0,1,1,2,1,1,0,0,0,1,13.75,15,3,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",2,1.5333333333333332,0,1,1,1,5,1,4,0,0,0,0,2,3,1,2,1,1,3,0,3,0,3,-1,0,Illinois Tech Scarlet Hawks,0,0,0,12.216666666666667,1,1,2,1,1,1
0,0,1,2,0,2,0,0,0,1,12.216666666666667,15,4,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,2.0166666666666675,0,0,1,2,3,1,2,2,1,1,1,1,3,0,2,0,2,3,1,1,1,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,10.2,1,1,2,0,2,1
0,0,1,3,0,3,2,2,0,1,10.2,15,5,"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale",2,3.499999999999999,1,1,0,3,5,3,2,0,0,0,2,1,7,1,1,1,0,4,2,4,2,2,-5,2,Illinois Tech Scarlet Hawks,0,0,0,6.7,2,3,3,0,3,1
0,0,1,3,1,2,2,1,1,0,6.7,15,6,"Cody Mattson,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",3,1.6500000000000004,1,0,0,1,2,1,1,0,0,0,2,0,2,0,0,0,0,1,0,2,1,1,1,0,Illinois Tech Scarlet Hawks,1,0,1,5.05,2,0,2,1,1,1
1,0,2,3,1,2,0,0,0,0,5.05,15,7,"Ahmad Muhammad,Cody Mattson,Jake Digiorgio,Max Hisatake,Otis Reale",2,1.7333333333333334,1,0,0,1,3,1,2,0,0,0,0,0,2,0,2,0,2,1,1,1,1,0,0,1,Illinois Tech Scarlet Hawks,0,0,0,3.3166666666666664,3,1,3,1,2,1
0,0,0,0,0,0,0,0,0,0,3.3166666666666664,15,8,"Ahmad Muhammad,Cody Mattson,Jake Digiorgio,Ricardo Whitehead,Zach Parduhn",0,1.233333333333333,0,1,0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,1,1,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,2.0833333333333335,0,2,0,0,0,1
0,0,2,2,1,1,0,0,0,0,2.0833333333333335,15,9,"Ahmad Muhammad,Jake Digiorgio,Otis Reale,Parker Joncus,Ricardo Whitehead",2,2.0833333333333335,0,0,1,3,5,0,5,0,0,0,0,1,0,0,2,0,2,4,0,3,0,3,0,0,Illinois Tech Scarlet Hawks,0,0,0,0.0,2,0,2,1,1,1
1,0,2,2,1,1,0,0,0,0,20.0,15,10,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",2,1.8666666666666671,0,0,0,1,3,1,2,0,0,0,0,0,2,0,1,0,1,1,0,2,1,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,18.133333333333333,2,1,2,1,1,2
0,0,0,1,0,1,0,0,0,0,18.133333333333333,15,11,"Calvin Schmitz,Kohl Linder,Max Hisatake,Otis Reale,Parker Joncus",0,0.8166666666666664,0,0,0,1,3,1,2,0,0,0,0,2,2,0,0,0,0,3,0,3,1,2,-2,0,Illinois Tech Scarlet Hawks,1,0,1,17.316666666666666,0,0,0,0,0,2
0,0,1,1,0,1,0,0,0,1,17.316666666666666,15,12,"Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake,Otis Reale",0,1.0666666666666664,0,1,0,1,2,1,1,0,0,0,0,0,3,1,1,1,0,1,1,1,0,1,-3,0,Illinois Tech Scarlet Hawks,0,0,0,16.25,1,1,1,0,1,2
