Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
3,0,0,5,4,1,0,0,0,0,20,16,1,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",10,4.01666666666667,0,1,0,1,5,4,1,0,0,0,2,0,10,0,3,2,1,1,1,2,2,0,0,0,Edgewood College (WI) Eagles,3,2,1,15.9833333333333,0,0,2,2,0,1
0,0,1,3,0,3,0,0,0,0,15.9833333333333,16,2,"Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver,Tyler Lemke",0,1.75,1,1,0,2,2,1,1,0,0,0,0,0,3,0,1,1,0,2,0,1,0,1,-3,0,Edgewood College (WI) Eagles,2,0,2,14.2333333333333,2,1,1,0,1,1
0,0,3,2,0,2,0,0,0,0,14.2333333333333,16,3,"Avery Lyons,Jacob Miller,Jake Negus,Ryan Buss,Tyler Lemke",0,2.25,0,1,0,2,4,1,3,0,0,0,0,0,2,1,1,0,1,2,0,3,1,2,-2,0,Edgewood College (WI) Eagles,1,0,1,11.9833333333333,3,2,1,0,1,1
0,0,1,3,0,3,0,0,0,1,11.9833333333333,16,4,"Avery Lyons,Ben Seefeld,Jacob Miller,Jake Negus,Ryan Buss",0,2.33333333333333,0,1,0,3,4,3,1,0,0,0,0,0,7,1,1,1,0,3,1,3,2,1,-7,0,Edgewood College (WI) Eagles,1,0,1,9.65,1,1,2,0,2,1
1,0,2,6,1,5,0,0,0,0,9.65,16,5,"Ben Seefeld,Emil Radisevic,Matthew Myers,Mcclain Steffens,Sy Staver",2,2.83333333333333,0,0,2,4,3,1,2,0,0,0,0,0,3,0,1,1,0,4,1,2,0,2,-1,1,Edgewood College (WI) Eagles,3,0,3,6.81666666666667,2,0,3,1,2,1
0,0,0,0,0,0,0,0,0,1,6.81666666666667,16,6,"Emil Radisevic,Matthew Myers,Mcclain Steffens,Sy Staver,Tyler Lemke",0,0.516666666666667,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,-2,0,Edgewood College (WI) Eagles,0,0,0,6.3,0,1,0,0,0,1
1,0,0,2,1,1,2,2,0,0,6.3,16,7,"Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver,Tyler Lemke",4,1.75,0,1,0,1,3,2,1,0,0,0,1,1,4,0,0,0,0,2,1,3,2,1,0,1,Edgewood College (WI) Eagles,1,0,1,4.55,0,0,1,1,0,1
0,1,2,3,0,3,2,2,0,0,4.55,16,8,"Jacob Miller,Jake Negus,Ryan Buss,Sy Staver,Tyler Lemke",2,1.33333333333333,2,0,0,1,4,0,4,0,0,0,2,2,0,0,0,0,0,3,0,4,0,4,2,0,Edgewood College (WI) Eagles,1,0,1,3.21666666666667,4,0,2,0,2,1
0,0,1,2,1,1,1,0,1,1,3.21666666666667,16,9,"Avery Lyons,Ben Seefeld,Jacob Miller,Jake Negus,Ryan Buss",2,1,0,0,0,1,2,1,1,0,0,0,1,0,2,0,0,0,0,1,0,2,1,1,0,0,Edgewood College (WI) Eagles,1,0,1,2.21666666666667,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,2,2.21666666666667,16,10,"Avery Lyons,Ben Seefeld,Emil Radisevic,Jacob Miller,Sy Staver",0,0.283333333333333,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,Edgewood College (WI) Eagles,0,0,0,1.93333333333333,0,0,0,0,0,1
0,0,1,2,1,1,0,0,0,0,1.93333333333333,16,11,"Avery Lyons,Ben Seefeld,Jacob Miller,Sy Staver,Tyler Lemke",2,0.716666666666667,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,Edgewood College (WI) Eagles,0,0,0,1.21666666666667,1,0,2,1,1,1
1,0,2,3,1,2,0,0,0,1,1.21666666666667,16,12,"Avery Lyons,Ben Seefeld,Mcclain Steffens,Sy Staver,Tyler Lemke",3,1.21666666666667,1,0,2,1,1,0,1,3,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Edgewood College (WI) Eagles,1,1,0,0,3,1,2,0,2,1
1,0,0,2,1,1,0,0,0,2,20,16,13,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",2,1.81666666666667,0,2,0,2,4,3,1,2,1,1,2,0,8,0,1,1,0,2,0,3,2,1,-6,0,Edgewood College (WI) Eagles,0,0,0,18.1833333333333,0,0,2,1,1,2
0,0,1,1,0,1,4,3,1,0,18.1833333333333,16,14,"Ben Seefeld,Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver",3,1.46666666666667,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,1,3,1,Edgewood College (WI) Eagles,0,0,0,16.7166666666667,1,0,1,0,1,2
0,0,0,1,0,1,0,0,0,1,16.7166666666667,16,15,"Ben Seefeld,Jake Negus,Mcclain Steffens,Sy Staver,Tyler Lemke",0,1.76666666666667,0,1,0,1,3,2,1,0,0,0,0,1,5,1,2,1,1,2,0,1,1,0,-5,0,Edgewood College (WI) Eagles,0,0,0,14.95,0,1,1,0,1,2
0,0,0,2,1,1,2,2,0,3,14.95,16,16,"Avery Lyons,Jacob Miller,Jake Negus,Sy Staver,Tyler Lemke",4,1.55,0,0,0,1,0,0,0,4,4,0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,Edgewood College (WI) Eagles,1,0,1,13.4,0,1,1,1,0,2
0,0,2,3,0,3,0,0,0,0,13.4,16,17,"Avery Lyons,Jacob Miller,Matthew Myers,Mcclain Steffens,Ryan Buss",0,2.58333333333333,0,1,2,3,4,1,3,0,0,0,2,0,2,1,1,0,1,3,1,3,1,2,-2,1,Edgewood College (WI) Eagles,0,0,0,10.8166666666667,2,1,3,0,3,2
1,0,1,2,2,0,0,0,0,1,10.8166666666667,16,18,"Avery Lyons,Ben Seefeld,Matthew Myers,Mcclain Steffens,Tyler Lemke",5,0.933333333333334,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,5,0,Edgewood College (WI) Eagles,1,1,0,9.88333333333333,1,0,1,1,0,2
0,1,0,1,0,1,0,0,0,2,9.88333333333333,16,19,"Avery Lyons,Ben Seefeld,Matthew Myers,Mcclain Steffens,Ryan Buss",0,1.08333333333333,0,0,0,1,3,0,3,4,3,1,0,4,3,1,1,0,1,5,0,2,0,2,-3,0,Edgewood College (WI) Eagles,0,0,0,8.8,0,1,1,0,1,2
0,0,0,0,0,0,0,0,0,1,8.8,16,20,"Ben Seefeld,Jake Negus,Mcclain Steffens,Ryan Buss,Sy Staver",0,0.333333333333334,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,-2,0,Edgewood College (WI) Eagles,0,0,0,8.46666666666667,0,1,0,0,0,2
1,0,0,1,1,0,2,2,0,0,8.46666666666667,16,21,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",5,1.21666666666667,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1,0,3,0,Edgewood College (WI) Eagles,1,1,0,7.25,0,1,0,0,0,2
0,0,2,3,2,1,0,0,0,0,7.25,16,22,"Emil Radisevic,Jacob Miller,Jake Negus,Mcclain Steffens,Sy Staver",4,1.66666666666667,0,1,0,1,3,1,2,0,0,0,0,0,3,0,2,1,1,1,1,1,0,1,1,0,Edgewood College (WI) Eagles,0,0,0,5.58333333333333,2,0,3,2,1,2
0,0,2,5,3,2,1,1,0,0,5.58333333333333,16,23,"Avery Lyons,Emil Radisevic,Jacob Miller,Jake Negus,Sy Staver",7,3.01666666666667,0,0,0,2,3,1,2,0,0,0,1,0,2,0,1,0,1,2,2,2,1,1,5,1,Edgewood College (WI) Eagles,1,0,1,2.56666666666667,2,0,4,3,1,2
0,0,1,2,0,2,0,0,0,1,2.56666666666667,16,24,"Ben Seefeld,Jake Negus,Mcclain Steffens,Sy Staver,Tyler Lemke",0,1.05,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,Edgewood College (WI) Eagles,1,0,1,1.51666666666667,1,1,1,0,1,2
0,0,0,1,0,1,0,0,0,1,1.51666666666667,16,25,"Avery Lyons,Jacob Miller,Mcclain Steffens,Sy Staver,Tyler Lemke",0,0.416666666666667,0,1,0,1,1,1,0,2,2,0,0,0,4,1,0,0,0,1,0,1,1,0,-4,1,Edgewood College (WI) Eagles,0,0,0,1.1,0,1,1,0,1,2
0,0,1,2,0,2,0,0,0,0,1.1,16,26,"Ben Seefeld,Emil Radisevic,Jake Negus,Mcclain Steffens,Sy Staver",0,1.1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,Edgewood College (WI) Eagles,1,0,1,0,1,0,1,0,1,2
