Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
1,0,0,1,1,0,0,0,0,0,16,1,0,Ben Seefeld,3,0,Edgewood College (WI) Eagles,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,16,1,0,Emil Radisevic,3,0,Edgewood College (WI) Eagles,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,16,1,0,Mcclain Steffens,2,0,Edgewood College (WI) Eagles,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,16,1,0,Sy Staver,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
1,0,0,2,1,1,0,0,0,0,16,1,0,Jake Negus,2,0,Edgewood College (WI) Eagles,1,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,16,2,0,Emil Radisevic,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,16,2,1,Mcclain Steffens,0,0,Edgewood College (WI) Eagles,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,2,0,Sy Staver,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,16,2,0,Jake Negus,0,0,Edgewood College (WI) Eagles,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,16,2,0,Tyler Lemke,0,0,Edgewood College (WI) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,3,0,Jake Negus,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,16,3,0,Tyler Lemke,0,0,Edgewood College (WI) Eagles,0,0,0,1,1,0,0,0
0,0,1,1,0,1,0,0,0,0,16,3,0,Avery Lyons,0,0,Edgewood College (WI) Eagles,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,16,3,0,Ryan Buss,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,16,3,0,Jacob Miller,0,0,Edgewood College (WI) Eagles,1,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,16,4,0,Jake Negus,0,0,Edgewood College (WI) Eagles,0,0,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,16,4,0,Avery Lyons,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,16,4,0,Ryan Buss,0,0,Edgewood College (WI) Eagles,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,4,0,Jacob Miller,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,16,4,0,Ben Seefeld,0,0,Edgewood College (WI) Eagles,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,16,5,0,Ben Seefeld,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,16,5,0,Mcclain Steffens,0,0,Edgewood College (WI) Eagles,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,16,5,0,Sy Staver,0,1,Edgewood College (WI) Eagles,0,0,0,1,0,0,0,0
0,0,0,2,1,1,0,0,0,0,16,5,0,Matthew Myers,2,0,Edgewood College (WI) Eagles,1,0,1,0,0,1,1,0
0,0,1,2,0,2,0,0,0,0,16,5,0,Emil Radisevic,0,0,Edgewood College (WI) Eagles,1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,1,16,6,0,Mcclain Steffens,0,0,Edgewood College (WI) Eagles,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,16,6,0,Sy Staver,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,6,0,Matthew Myers,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,6,0,Emil Radisevic,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,6,0,Tyler Lemke,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,16,7,0,Mcclain Steffens,2,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,16,7,0,Sy Staver,0,1,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,7,0,Emil Radisevic,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,16,7,0,Tyler Lemke,2,0,Edgewood College (WI) Eagles,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,16,7,0,Jake Negus,0,0,Edgewood College (WI) Eagles,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,8,0,Sy Staver,0,0,Edgewood College (WI) Eagles,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,16,8,0,Tyler Lemke,0,0,Edgewood College (WI) Eagles,1,0,1,1,0,0,0,0
