Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
1,0,1,5,4,1,0,0,0,1,20.0,16,1,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",10,3.7333333333333343,0,3,0,0,5,4,1,0,0,0,0,0,10,0,3,2,1,0,0,2,2,0,0,0,Illinois Tech Scarlet Hawks,3,2,1,16.266666666666666,1,1,2,2,0,1
1,0,2,2,1,1,0,0,0,1,16.266666666666666,16,2,"Calvin Schmitz,Kohl Linder,Max Hisatake,Milos Dugalic,Otis Reale",3,2.033333333333333,0,0,0,1,3,0,3,0,0,0,0,1,0,0,2,0,2,2,1,1,0,1,3,0,Illinois Tech Scarlet Hawks,1,1,0,14.233333333333333,2,0,1,0,1,1
1,0,2,4,1,3,0,0,0,0,14.233333333333333,16,3,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",2,2.25,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,1,3,2,1,0,1,2,1,Illinois Tech Scarlet Hawks,1,0,1,11.983333333333333,2,0,3,1,2,1
1,0,3,4,3,1,0,0,0,0,11.983333333333333,16,4,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",7,2.216666666666665,0,0,0,1,3,0,3,0,0,0,1,0,0,0,1,0,1,1,1,2,0,2,7,1,Illinois Tech Scarlet Hawks,1,1,0,9.766666666666667,3,0,3,2,1,1
0,2,2,1,0,1,0,0,0,0,9.766666666666667,16,5,"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,1.6333333333333346,0,1,0,1,4,1,3,0,0,0,0,0,2,1,2,0,2,1,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,8.133333333333333,2,2,1,0,1,1
0,0,2,2,1,1,0,0,0,0,8.133333333333333,16,6,"Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale,Ricardo Whitehead",3,1.3166666666666664,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,3,0,Illinois Tech Scarlet Hawks,1,1,0,6.816666666666666,2,0,1,0,1,1
1,0,1,4,3,1,0,0,0,1,6.816666666666666,16,7,"Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale,Ricardo Whitehead",6,2.2666666666666666,1,1,0,0,2,1,1,2,2,0,1,0,4,1,1,0,1,0,1,1,1,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,4.55,2,1,4,3,1,1
0,0,1,3,0,3,0,0,0,1,4.55,16,8,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Max Hisatake,Otis Reale",0,1.333333333333333,2,0,1,2,4,0,4,2,2,0,1,2,2,0,1,0,1,4,0,3,0,3,-2,0,Illinois Tech Scarlet Hawks,0,0,0,3.216666666666667,3,0,3,0,3,1
0,0,2,3,1,2,2,1,1,1,3.216666666666667,16,9,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",3,2.0,0,0,0,2,4,2,2,1,0,1,3,0,4,0,1,0,1,2,0,3,2,1,-1,0,Illinois Tech Scarlet Hawks,1,0,1,1.2166666666666668,2,1,2,1,1,1
0,2,1,1,0,1,3,0,3,0,1.2166666666666668,16,10,"Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",0,1.2166666666666668,0,1,0,2,3,1,2,0,0,0,1,1,3,0,1,1,0,3,1,2,0,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,0.0,1,0,0,0,0,1
2,0,3,4,3,1,2,1,1,3,20.0,16,11,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",8,3.283333333333335,0,1,0,1,4,1,3,4,3,1,3,0,5,1,0,0,0,1,0,4,1,3,3,0,Illinois Tech Scarlet Hawks,1,1,0,16.716666666666665,3,2,3,2,1,2
1,0,1,3,2,1,0,0,0,0,16.716666666666665,16,12,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic",5,1.7666666666666657,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,5,1,Illinois Tech Scarlet Hawks,2,1,1,14.95,2,0,1,1,0,2
0,0,0,0,0,0,2,2,0,0,14.95,16,13,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",2,0.25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,14.7,0,0,0,0,0,2
0,0,1,0,0,0,2,2,0,2,14.7,16,14,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Milos Dugalic,Ricardo Whitehead",2,1.299999999999999,0,0,0,0,2,1,1,2,2,0,1,0,4,0,1,0,1,0,0,1,1,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,13.4,1,1,0,0,0,2
