Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,1,4,3,1,0,0,0,0,15,1,0,6,1,0,0,0,1,1,4,3,1,203
0,0,1,0,0,0,0,0,0,1,15,2,0,0,0,0,0,0,1,1,0,0,0,203
0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,1,1,0,0,0,0,1,15,7,0,3,0,1,1,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,203
0,0,1,3,3,0,3,2,1,0,15,12,0,10,0,2,2,0,1,0,1,1,0,203
0,1,0,1,1,0,0,0,0,1,15,1,0,3,0,1,1,0,0,0,0,0,0,208
0,1,0,1,0,1,0,0,0,0,15,2,0,0,0,1,0,1,0,0,0,0,0,208
1,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,208
0,0,0,0,0,0,0,0,0,1,15,4,0,0,0,0,0,0,0,0,0,0,0,208
0,0,1,5,1,4,0,0,0,0,15,7,1,2,0,2,0,2,2,0,3,1,2,208
0,0,0,1,0,1,0,0,0,1,15,9,0,0,1,1,0,1,0,0,0,0,0,208
0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,208
0,0,1,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,1,0,0,0,0,208
0,0,1,4,2,2,0,0,0,0,15,12,0,6,0,4,2,2,1,0,0,0,0,208
0,0,0,3,1,2,0,0,0,0,15,1,0,2,0,0,0,0,0,0,3,1,2,213
0,0,1,1,0,1,0,0,0,0,15,5,0,0,0,0,0,0,1,0,1,0,1,213
0,1,1,3,2,1,0,0,0,0,15,7,1,4,0,1,0,1,2,0,2,2,0,213
0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,213
0,0,0,1,0,1,0,0,0,0,15,11,0,0,0,0,0,0,0,0,1,0,1,213
0,0,1,1,1,0,2,2,0,0,15,12,1,4,0,0,0,0,2,0,1,1,0,213
1,0,1,2,1,1,2,2,0,0,15,1,0,5,0,1,1,0,1,2,1,0,1,198
0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,198
0,0,1,1,0,1,0,0,0,0,15,7,0,0,1,0,0,0,1,1,1,0,1,198
0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,198
1,0,1,1,0,1,0,0,0,0,15,12,0,0,0,0,0,0,1,0,1,0,1,198
1,0,1,2,0,2,0,0,0,0,15,1,2,0,0,1,0,1,3,0,1,0,1,201
0,0,1,2,1,1,2,1,1,0,15,2,1,3,0,1,0,1,2,0,1,1,0,201
0,0,0,1,1,0,0,0,0,0,15,3,0,3,0,1,1,0,0,0,0,0,0,201
1,0,0,1,0,1,0,0,0,0,15,7,0,0,0,0,0,0,0,0,1,0,1,201
0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,201
0,0,1,1,0,1,0,0,0,0,15,9,0,0,0,1,0,1,1,0,0,0,0,201
0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,201
0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,201
2,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,201
0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,1,1,0,0,0,0,0,15,5,0,2,0,0,0,0,0,0,1,1,0,209
0,0,0,1,0,1,0,0,0,1,15,6,0,0,0,0,0,0,0,0,1,0,1,209
0,0,1,1,0,1,0,0,0,0,15,8,0,0,0,0,0,0,1,0,1,0,1,209
0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,1,0,1,0,0,0,1,15,10,0,0,0,0,0,0,0,0,1,0,1,209
0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,200
0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,200
0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,200
0,0,1,1,0,1,0,0,0,0,15,6,0,0,0,0,0,0,1,0,1,0,1,200
0,0,0,1,0,1,0,0,0,0,15,8,0,0,0,0,0,0,0,0,1,0,1,200
0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,200
0,0,1,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,0,0,0,205
0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,205
0,0,0,1,1,0,0,0,0,0,15,5,0,2,0,0,0,0,0,0,1,1,0,205
0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,2,0,0,0,205
0,0,0,1,0,1,0,0,0,0,15,9,1,0,0,0,0,0,1,0,1,0,1,205
0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,205
0,0,0,3,1,2,0,0,0,0,15,11,0,2,0,2,0,2,0,0,1,1,0,205
0,0,0,0,0,0,0,0,0,1,15,6,1,0,1,0,0,0,1,0,0,0,0,207
1,0,0,1,1,0,0,0,0,0,16,1,0,3,0,1,1,0,0,0,0,0,0,121
0,0,0,1,0,1,0,0,0,0,16,4,0,0,0,1,0,1,0,0,0,0,0,121
0,0,0,1,0,1,0,0,0,0,16,5,0,0,0,0,0,0,0,0,1,0,1,121
0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,121
0,0,1,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,1,0,0,0,0,121
0,0,0,3,1,2,0,0,0,0,16,12,1,3,0,1,1,0,1,0,2,0,2,121
0,0,0,1,1,0,0,0,0,0,16,13,0,2,0,0,0,0,0,0,1,1,0,121
0,0,0,1,0,1,0,0,0,0,16,14,0,0,0,0,0,0,0,0,1,0,1,121
0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,1,0,0,0,121
0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,0,0,0,0,0,0,1,16,19,0,0,0,0,0,0,0,1,0,0,0,121
0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,1,1,0,0,0,0,0,16,21,0,3,0,1,1,0,0,0,0,0,0,121
0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,0,0,0,0,0,0,0,16,26,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,1,1,0,0,0,0,0,16,1,0,3,0,1,1,0,0,0,0,0,0,118
0,0,0,1,0,1,0,0,0,0,16,2,0,0,0,0,0,0,0,0,1,0,1,118
0,0,1,2,0,2,0,0,0,0,16,5,0,0,0,1,0,1,1,0,1,0,1,118
0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,0,2,16,10,0,0,0,0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,0,2,16,13,0,0,0,0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,118
0,0,1,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,1,0,0,0,0,118
