,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Anthony Mosley,"Anthony Mosley,Parker Joncus",186.983333333333,plusminus,Net performance Evaluation Metric,25.0
0,Anthony Mosley,"Anthony Mosley,Max Hisatake",245.25,plusminus,Net performance Evaluation Metric,51.0
0,Anthony Mosley,"Anthony Mosley,Jake Digiorgio",280.95,plusminus,Net performance Evaluation Metric,52.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley",214.633333333333,plusminus,Net performance Evaluation Metric,57.0
0,Anthony Mosley,"Anthony Mosley,Milos Dugalic",134.85,plusminus,Net performance Evaluation Metric,57.0
0,Ben Wagner,"Ben Wagner,Jalen Lomax",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Calvin Schmitz",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Kohl Linder",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ahmad Muhammad,"Ahmad Muhammad,Parker Joncus",282.033333333333,plusminus,Net performance Evaluation Metric,13.0
0,Ahmad Muhammad,"Ahmad Muhammad,Max Hisatake",365.85,plusminus,Net performance Evaluation Metric,44.0
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley",214.633333333333,plusminus,Net performance Evaluation Metric,57.0
0,Ahmad Muhammad,"Ahmad Muhammad,Milos Dugalic",241.416666666667,plusminus,Net performance Evaluation Metric,65.0
0,Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio",420.916666666666,plusminus,Net performance Evaluation Metric,60.0
0,Jake Bruns,"Jake Bruns,Parker Joncus",130.9,plusminus,Net performance Evaluation Metric,6.0
0,Jake Bruns,"Jake Bruns,Milos Dugalic",152.2,plusminus,Net performance Evaluation Metric,10.0
0,Jake Bruns,"Anthony Mosley,Jake Bruns",65.65,plusminus,Net performance Evaluation Metric,14.0
0,Jake Bruns,"Jake Bruns,Max Hisatake",173.916666666667,plusminus,Net performance Evaluation Metric,48.0
0,Jake Bruns,"Jake Bruns,Otis Reale",100.85,plusminus,Net performance Evaluation Metric,13.0
0,Jalen Lomax,"Jalen Lomax,Ricardo Whitehead",2.1,plusminus,Net performance Evaluation Metric,0.0
0,Jalen Lomax,"Jalen Lomax,Milos Dugalic",4.5,plusminus,Net performance Evaluation Metric,6.0
0,Jalen Lomax,"Jake Digiorgio,Jalen Lomax",3.83333333333333,plusminus,Net performance Evaluation Metric,9.0
0,Jalen Lomax,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,plusminus,Net performance Evaluation Metric,9.0
0,Jalen Lomax,"Cody Mattson,Jalen Lomax",6.96666666666666,plusminus,Net performance Evaluation Metric,9.0
0,Calvin Schmitz,"Brett Ott,Calvin Schmitz",4.53333333333333,plusminus,Net performance Evaluation Metric,-3.0
0,Calvin Schmitz,"Ben Wagner,Calvin Schmitz",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Calvin Schmitz,"Calvin Schmitz,Ricardo Whitehead",25.9,plusminus,Net performance Evaluation Metric,1.0
0,Calvin Schmitz,"Calvin Schmitz,Max Hisatake",245.65,plusminus,Net performance Evaluation Metric,15.0
0,Calvin Schmitz,"Calvin Schmitz,Kohl Linder",23.3166666666667,plusminus,Net performance Evaluation Metric,1.0
0,Capriest Gardner,"Capriest Gardner,Kohl Linder",1.51666666666667,plusminus,Net performance Evaluation Metric,0.0
0,Capriest Gardner,"Ahmad Muhammad,Capriest Gardner",31.9,plusminus,Net performance Evaluation Metric,4.0
0,Capriest Gardner,"Capriest Gardner,Milos Dugalic",44.6166666666667,plusminus,Net performance Evaluation Metric,11.0
0,Capriest Gardner,"Anthony Mosley,Capriest Gardner",49.0166666666667,plusminus,Net performance Evaluation Metric,17.0
0,Capriest Gardner,"Capriest Gardner,Max Hisatake",37.7833333333333,plusminus,Net performance Evaluation Metric,11.0
0,Brett Ott,"Brett Ott,Capriest Gardner",6.33333333333334,plusminus,Net performance Evaluation Metric,-1.0
0,Brett Ott,"Brett Ott,Milos Dugalic",2.81666666666667,plusminus,Net performance Evaluation Metric,0.0
0,Brett Ott,"Anthony Mosley,Brett Ott",2.81666666666667,plusminus,Net performance Evaluation Metric,0.0
0,Brett Ott,"Ben Wagner,Brett Ott",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Brett Ott,"Brett Ott,Cody Mattson",3.13333333333333,plusminus,Net performance Evaluation Metric,0.0
0,Jake Digiorgio,"Jake Digiorgio,Jalen Lomax",3.83333333333333,plusminus,Net performance Evaluation Metric,9.0
0,Jake Digiorgio,"Jake Digiorgio,Milos Dugalic",277.116666666667,plusminus,Net performance Evaluation Metric,59.0
