lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Capriest Gardner,Jake Digiorgio",1,0,3,4,1,3,0,0,0,0,3,2.4166666666666696,0,1,0,3,5,1,4,0,0,0,0,0,2,0,2,0,2,3,0,3,1,2,1,0,3,1,2,3,0,1,0,1
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Digiorgio",1,0,1,2,1,1,0,0,0,1,2,2.33333333333334,0,1,0,1,3,2,1,0,0,0,0,0,4,2,0,0,0,1,0,3,2,1,-2,0,0,0,0,1,3,2,1,1
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Cody Mattson,Ricardo Whitehead",0,0,1,2,1,1,0,0,0,0,2,1.5,0,0,0,1,2,1,1,0,0,0,0,0,3,0,2,1,1,1,1,0,0,0,-1,0,1,0,1,1,0,1,1,0
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio",0,0,2,3,1,2,0,0,0,1,2,1.8333333333333302,0,0,0,2,3,0,3,2,2,0,0,1,2,0,2,0,2,3,0,1,0,1,0,0,0,0,0,2,0,3,1,2
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",3,0,10,26,7,19,6,5,1,7,20,16.13333333333333,7,2,1,10,20,6,14,0,0,0,9,3,14,3,7,2,5,13,7,13,4,9,6,3,8,1,7,17,8,18,6,12
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Milos Dugalic",0,0,0,0,0,0,0,0,0,0,0,0.316666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Kohl Linder,Max Hisatake",0,0,0,2,0,2,0,0,0,1,0,1.15,2,0,0,0,2,0,2,2,1,1,1,2,1,0,2,0,2,2,0,0,0,0,-1,0,2,0,2,2,0,0,0,0
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Milos Dugalic",1,0,1,2,2,0,0,0,0,1,4,1.3,0,0,0,1,1,0,1,2,1,1,2,0,1,1,1,0,1,1,2,0,0,0,3,0,0,0,0,1,1,2,2,0
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Parker Joncus",0,0,0,2,1,1,0,0,0,0,2,1.2,0,2,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0,2,2,0,-2,0,1,0,1,0,1,1,1,0
"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Ricardo Whitehead",0,0,1,2,0,2,0,0,0,0,0,0.9833333333333342,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,2,1,1,0,1
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Max Hisatake",2,0,4,7,5,2,0,0,0,2,10,3.9166666666666696,1,1,0,1,5,1,4,4,3,1,1,0,5,0,1,0,1,1,0,4,1,3,5,0,0,0,0,5,0,7,5,2
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic",0,1,1,1,0,1,2,2,0,1,2,0.9666666666666682,0,0,0,1,2,0,2,2,2,0,1,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Parker Joncus",1,0,1,2,2,0,0,0,0,1,4,1.7000000000000002,0,1,0,0,3,2,1,0,0,0,1,0,5,1,1,1,0,0,1,2,1,1,-1,0,0,0,0,1,2,2,2,0
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Kohl Linder,Parker Joncus",0,0,1,2,1,1,0,0,0,2,2,1.51666666666667,0,0,0,0,3,1,2,1,0,1,0,2,2,0,0,0,0,2,0,3,1,2,0,0,0,0,0,1,0,2,1,1
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic",1,0,3,2,2,0,0,0,0,1,5,2.466666666666667,0,0,0,0,6,1,5,2,2,0,0,2,4,1,1,0,1,2,0,5,1,4,1,0,1,1,0,3,2,1,1,0
"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Parker Joncus",2,1,3,8,4,4,3,2,1,2,10,5.016666666666669,1,2,0,4,8,3,5,2,1,1,4,1,9,0,3,2,1,5,0,5,1,4,1,1,2,0,2,4,1,6,4,2
"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",1,0,2,3,1,2,0,0,0,1,2,3.299999999999997,0,0,0,2,8,2,6,2,0,2,0,5,4,1,3,0,3,7,2,5,2,3,-2,1,1,0,1,2,1,2,1,1
"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Max Hisatake,Ricardo Whitehead",0,0,0,4,0,4,0,0,0,1,0,2.13333333333333,1,1,0,3,2,2,0,0,0,0,0,0,5,0,1,1,0,3,1,1,1,0,-5,1,1,0,1,1,1,3,0,3
"Ahmad Muhammad,Anthony Mosley,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0,2,1,0,1,0,0,0,2,0,0.2,0,0,0,1,0,0,0,4,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0
"Ahmad Muhammad,Anthony Mosley,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,0,0,0,0,0,0,1,0,0.44999999999999896,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Max Hisatake",1,0,0,1,1,0,0,0,0,0,3,0.816666666666667,0,0,0,0,1,1,0,2,2,0,1,0,4,0,0,0,0,0,0,1,1,0,-1,0,1,1,0,0,0,0,0,0
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Parker Joncus",1,1,2,4,2,2,0,0,0,0,4,2.61666666666667,0,1,1,2,5,1,4,0,0,0,0,1,3,0,2,1,1,3,1,3,0,3,0,1,0,0,0,2,0,4,2,2
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",16,5,34,68,33,35,18,15,3,16,87,45.06666666666668,12,11,4,23,59,20,39,15,10,5,18,2,55,11,22,5,17,25,14,37,15,22,27,8,16,6,10,46,19,52,27,25
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",22,6,67,118,50,68,43,28,15,31,134,80.68333333333332,22,18,7,43,123,49,74,26,17,9,39,9,126,19,38,11,27,52,21,85,38,47,10,15,32,6,26,89,34,86,44,42
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",8,4,23,42,21,21,15,11,4,8,59,24.866666666666667,9,7,1,13,45,13,32,6,5,1,12,4,34,1,17,3,14,17,4,28,10,18,19,1,11,6,5,32,5,31,15,16
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,0,2,4,1,3,0,0,0,1,2,3.533333333333336,2,2,0,1,5,2,3,0,0,0,1,1,4,0,1,0,1,2,1,4,2,2,-2,0,2,0,2,4,1,2,1,1
"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,1,2,1,1,0,0,0,1,2,0.916666666666667,0,1,0,0,1,1,0,2,1,1,0,0,3,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,1,0,2,1,1
"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Milos Dugalic,Parker Joncus",2,1,5,7,2,5,3,2,1,2,7,4.8,0,0,1,5,7,1,6,2,1,1,2,1,3,1,1,0,1,6,3,6,1,5,4,2,4,1,3,5,2,3,1,2
"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Parker Joncus,Ricardo Whitehead",0,0,1,1,0,1,0,0,0,0,0,0.5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
"Ahmad Muhammad,Calvin Schmitz,Calvin Schmitz,Capriest Gardner,Jake Digiorgio,Otis Reale",0,0,0,1,0,1,0,0,0,0,0,0.6666666666666661,0,1,1,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,1,0,1
"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio",1,0,1,2,1,1,0,0,0,0,3,1.35,1,0,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,1,0,2,1,1,2,0,0,0,0
"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,1,2,0,2,0,0,0,1,0,1.5000000000000029,0,0,0,3,1,0,1,2,1,1,0,0,1,0,0,0,0,3,1,1,0,1,-1,1,0,0,0,1,0,2,0,2
"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Digiorgio,Parker Joncus",0,0,1,1,0,1,0,0,0,0,0,0.266666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Max Hisatake,Parker Joncus",2,0,1,3,3,0,2,2,0,0,9,2.8,0,1,0,0,3,2,1,0,0,0,3,0,5,0,2,1,1,0,1,1,1,0,4,1,1,1,0,1,0,2,2,0
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",2,1,1,6,3,3,0,0,0,4,7,2.8333333333333304,0,0,0,3,3,1,2,4,3,1,1,1,5,0,1,0,1,4,2,2,1,1,2,2,1,1,0,1,0,5,2,3
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,0,2,2,2,0,0,0,0,0,4,1.5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus",1,0,0,1,1,0,2,1,1,0,4,0.75,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Zach Parduhn",2,0,1,3,2,1,0,0,0,0,6,2.7333333333333303,0,1,0,1,3,1,2,0,0,0,0,0,3,0,3,1,2,1,1,0,0,0,3,0,2,2,0,1,1,1,0,1
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0
"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Max Hisatake,Ricardo Whitehead",0,0,0,2,0,2,0,0,0,0,0,0.8333333333333341,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,0,2,1,1,-2,0,1,0,1,0,0,1,0,1
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",2,0,1,3,2,1,0,0,0,0,5,2.5,0,2,0,0,5,3,2,0,0,0,0,1,8,0,3,2,1,1,0,2,1,1,-3,0,2,1,1,1,0,1,1,0
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",4,0,3,6,5,1,3,3,0,3,14,4.08333333333333,0,0,0,1,4,1,3,4,3,1,4,0,5,1,2,0,2,1,1,2,1,1,9,1,1,1,0,3,2,5,4,1
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",2,2,8,16,6,10,2,2,0,6,15,-8.08333333333333,4,2,1,3,13,4,9,9,6,3,6,3,16,2,5,2,3,6,2,8,2,6,0,0,4,1,3,12,5,12,5,7
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0,1,1,1,0,0,0,0,1,2,1.283333333333332,0,1,0,0,2,1,1,0,0,0,1,0,3,0,1,1,0,0,0,1,0,1,-1,0,0,0,0,1,0,1,1,0
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",2,0,3,8,3,5,0,0,0,1,7,5.21666666666667,1,2,0,4,6,3,3,2,2,0,0,0,10,0,3,2,1,4,0,3,1,2,-2,0,2,1,1,4,2,6,2,4
"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",1,0,1,2,1,1,1,0,1,2,3,1.9833333333333365,0,1,0,2,1,1,0,4,3,1,1,0,6,0,1,1,0,2,1,0,0,0,-3,1,1,1,0,1,0,1,0,1
"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale",0,0,0,1,1,0,0,0,0,0,2,1.4,0,1,0,0,2,1,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0
"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Otis Reale,Parker Joncus",0,0,2,2,1,1,1,0,1,1,2,1.73333333333333,0,0,0,2,3,1,2,2,2,0,1,0,4,0,1,0,1,2,0,2,1,1,-2,0,0,0,0,2,0,2,1,1
"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Ricardo Whitehead,Zach Parduhn",0,0,1,0,0,0,0,0,0,0,0,0.5666666666666661,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",0,0,0,1,0,1,0,0,0,0,0,0.65,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,1,2,1,1,-2,0,0,0,0,0,0,1,0,1
"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,0,0,0,0,0,0,0,0,1,0,0.0499999999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",1,0,0,4,1,3,0,0,0,1,2,1.8833333333333329,1,0,0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,2,1,1,1,0,0,0,1,0,1,1,0,3,1,2
"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",1,0,0,3,2,1,0,0,0,2,4,2.4166666666666696,0,1,0,1,2,2,0,2,2,0,0,0,6,0,0,0,0,1,2,2,2,0,-2,1,1,0,1,0,2,2,2,0
"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",0,1,2,1,0,1,0,0,0,0,0,0.85,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,1,2,1,0,0,0
"Ahmad Muhammad,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Zach Parduhn",0,0,2,2,1,1,0,0,0,0,2,1.26666666666667,0,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,2,0,2,1,1
