player,min,metric_name,type,metric_desc,metric_value
Anthony Mosley,333.766666666667,plusminus,on_court,Net performance Evaluation Metric,57.0
Anthony Mosley,591.233333333333,plusminus,off_court,Net performance Evaluation Metric,-15.0
Ben Wagner,1.05,plusminus,on_court,Net performance Evaluation Metric,0.0
Ben Wagner,923.95,plusminus,off_court,Net performance Evaluation Metric,42.0
Heath Sheridan,,plusminus,on_court,Net performance Evaluation Metric,
Heath Sheridan,925.0,plusminus,off_court,Net performance Evaluation Metric,42.0
Ahmad Muhammad,522.183333333333,plusminus,on_court,Net performance Evaluation Metric,50.0
Ahmad Muhammad,402.816666666667,plusminus,off_court,Net performance Evaluation Metric,-8.0
Jake Bruns,299.133333333333,plusminus,on_court,Net performance Evaluation Metric,1.0
Jake Bruns,625.866666666667,plusminus,off_court,Net performance Evaluation Metric,41.0
Jalen Lomax,13.3666666666667,plusminus,on_court,Net performance Evaluation Metric,2.0
Jalen Lomax,911.633333333333,plusminus,off_court,Net performance Evaluation Metric,40.0
Calvin Schmitz,351.033333333333,plusminus,on_court,Net performance Evaluation Metric,-52.0
Calvin Schmitz,573.966666666666,plusminus,off_court,Net performance Evaluation Metric,94.0
Capriest Gardner,86.95,plusminus,on_court,Net performance Evaluation Metric,4.0
Capriest Gardner,838.05,plusminus,off_court,Net performance Evaluation Metric,38.0
Brett Ott,13.6833333333333,plusminus,on_court,Net performance Evaluation Metric,-8.0
Brett Ott,911.316666666666,plusminus,off_court,Net performance Evaluation Metric,50.0
Jake Digiorgio,721.916666666666,plusminus,on_court,Net performance Evaluation Metric,35.0
Jake Digiorgio,203.083333333333,plusminus,off_court,Net performance Evaluation Metric,7.0
Max Hisatake,650.466666666667,plusminus,on_court,Net performance Evaluation Metric,85.0
Max Hisatake,274.533333333333,plusminus,off_court,Net performance Evaluation Metric,-43.0
Otis Reale,455.45,plusminus,on_court,Net performance Evaluation Metric,0.0
Otis Reale,469.55,plusminus,off_court,Net performance Evaluation Metric,42.0
Milos Dugalic,407.783333333333,plusminus,on_court,Net performance Evaluation Metric,71.0
Milos Dugalic,517.216666666667,plusminus,off_court,Net performance Evaluation Metric,-29.0
Cody Mattson,36.3166666666667,plusminus,on_court,Net performance Evaluation Metric,-16.0
Cody Mattson,888.683333333333,plusminus,off_court,Net performance Evaluation Metric,58.0
Parker Joncus,530.6,plusminus,on_court,Net performance Evaluation Metric,3.0
Parker Joncus,394.4,plusminus,off_court,Net performance Evaluation Metric,39.0
Guy Ostroff,,plusminus,on_court,Net performance Evaluation Metric,
Guy Ostroff,925.0,plusminus,off_court,Net performance Evaluation Metric,42.0
Ricardo Whitehead,79.8666666666667,plusminus,on_court,Net performance Evaluation Metric,3.0
Ricardo Whitehead,845.133333333333,plusminus,off_court,Net performance Evaluation Metric,39.0
Kohl Linder,72.8666666666667,plusminus,on_court,Net performance Evaluation Metric,-3.0
Kohl Linder,852.133333333333,plusminus,off_court,Net performance Evaluation Metric,45.0
Zach Parduhn,48.5666666666667,plusminus,on_court,Net performance Evaluation Metric,-22.0
Zach Parduhn,876.433333333333,plusminus,off_court,Net performance Evaluation Metric,64.0
