,chosen_player,pair,min,plusminus
0,Anthony Mosley,"Anthony Mosley,Parker Joncus",186.983333333333,25.0
0,Anthony Mosley,"Anthony Mosley,Max Hisatake",245.25,51.0
0,Anthony Mosley,"Anthony Mosley,Jake Digiorgio",280.95,52.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley",214.633333333333,57.0
0,Anthony Mosley,"Anthony Mosley,Milos Dugalic",134.85,57.0
0,Ben Wagner,"Ben Wagner,Jalen Lomax",1.05,0.0
0,Ben Wagner,"Ben Wagner,Calvin Schmitz",1.05,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott",1.05,0.0
0,Ben Wagner,"Ben Wagner,Kohl Linder",1.05,0.0
0,Ahmad Muhammad,"Ahmad Muhammad,Parker Joncus",282.033333333333,13.0
0,Ahmad Muhammad,"Ahmad Muhammad,Max Hisatake",365.85,44.0
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley",214.633333333333,57.0
0,Ahmad Muhammad,"Ahmad Muhammad,Milos Dugalic",241.416666666667,65.0
0,Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio",420.916666666666,60.0
0,Jake Bruns,"Jake Bruns,Parker Joncus",130.9,6.0
0,Jake Bruns,"Jake Bruns,Milos Dugalic",152.2,10.0
0,Jake Bruns,"Anthony Mosley,Jake Bruns",65.65,14.0
0,Jake Bruns,"Jake Bruns,Max Hisatake",173.916666666667,48.0
0,Jake Bruns,"Jake Bruns,Otis Reale",100.85,13.0
0,Jalen Lomax,"Jalen Lomax,Ricardo Whitehead",2.1,0.0
0,Jalen Lomax,"Jalen Lomax,Milos Dugalic",4.5,6.0
0,Jalen Lomax,"Jake Digiorgio,Jalen Lomax",3.83333333333333,9.0
0,Jalen Lomax,"Ahmad Muhammad,Jalen Lomax",3.83333333333333,9.0
0,Jalen Lomax,"Cody Mattson,Jalen Lomax",6.96666666666666,9.0
0,Calvin Schmitz,"Brett Ott,Calvin Schmitz",4.53333333333333,-3.0
0,Calvin Schmitz,"Ben Wagner,Calvin Schmitz",1.05,0.0
0,Calvin Schmitz,"Calvin Schmitz,Ricardo Whitehead",25.9,1.0
0,Calvin Schmitz,"Calvin Schmitz,Max Hisatake",245.65,15.0
0,Calvin Schmitz,"Calvin Schmitz,Kohl Linder",23.3166666666667,1.0
0,Capriest Gardner,"Capriest Gardner,Kohl Linder",1.51666666666667,0.0
0,Capriest Gardner,"Ahmad Muhammad,Capriest Gardner",31.9,4.0
0,Capriest Gardner,"Capriest Gardner,Milos Dugalic",44.6166666666667,11.0
0,Capriest Gardner,"Anthony Mosley,Capriest Gardner",49.0166666666667,17.0
0,Capriest Gardner,"Capriest Gardner,Max Hisatake",37.7833333333333,11.0
0,Brett Ott,"Brett Ott,Capriest Gardner",6.33333333333334,-1.0
0,Brett Ott,"Brett Ott,Milos Dugalic",2.81666666666667,0.0
0,Brett Ott,"Anthony Mosley,Brett Ott",2.81666666666667,0.0
0,Brett Ott,"Ben Wagner,Brett Ott",1.05,0.0
0,Brett Ott,"Brett Ott,Cody Mattson",3.13333333333333,0.0
0,Jake Digiorgio,"Jake Digiorgio,Jalen Lomax",3.83333333333333,9.0
0,Jake Digiorgio,"Jake Digiorgio,Milos Dugalic",277.116666666667,59.0
0,Jake Digiorgio,"Anthony Mosley,Jake Digiorgio",280.95,52.0
0,Jake Digiorgio,"Jake Digiorgio,Max Hisatake",490.616666666666,71.0
0,Jake Digiorgio,"Ahmad Muhammad,Jake Digiorgio",420.916666666666,60.0
0,Max Hisatake,"Ahmad Muhammad,Max Hisatake",365.85,44.0
0,Max Hisatake,"Anthony Mosley,Max Hisatake",245.25,51.0
0,Max Hisatake,"Jake Bruns,Max Hisatake",173.916666666667,48.0
0,Max Hisatake,"Jake Digiorgio,Max Hisatake",490.616666666666,71.0
0,Max Hisatake,"Max Hisatake,Milos Dugalic",231.583333333333,63.0
0,Otis Reale,"Kohl Linder,Otis Reale",34.4666666666667,3.0
0,Otis Reale,"Milos Dugalic,Otis Reale",195.7,7.0
0,Otis Reale,"Jake Bruns,Otis Reale",100.85,13.0
0,Otis Reale,"Max Hisatake,Otis Reale",346.066666666667,18.0
